NSN,Record_Type,Error_Code,Error_Description,Related_Key
1000005384,ENRL,E06,End_Date (2024-06-11) before Start_Date (2024-07-11),TEAC401
1000004115,ENRL,E06,End_Date (2024-01-28) before Start_Date (2024-02-17),ACCT101
1000001218,ENRL,E06,End_Date (2024-01-28) before Start_Date (2024-02-19),ENGI301
1000006407,ENRL,E06,End_Date (2024-02-03) before Start_Date (2024-02-19),BUS101
1000004371,ENRL,E06,End_Date (2024-11-08) before Start_Date (2024-11-10),COMP101
1000000802,ENRL,E06,End_Date (2024-02-15) before Start_Date (2024-02-22),COMP201
1000004382,ENRL,E06,End_Date (2024-06-12) before Start_Date (2024-07-06),FDTN002
1000002391,ENRL,E06,End_Date (2024-02-02) before Start_Date (2024-02-17),TEAC401
1000004273,ENRL,E06,End_Date (2024-02-20) before Start_Date (2024-02-23),TEAC401
1000003487,ENRL,E06,End_Date (2024-02-03) before Start_Date (2024-02-19),ENGL101
1000006143,ENRL,E06,End_Date (2024-01-21) before Start_Date (2024-02-19),COMP301
1000005774,ENRL,E06,End_Date (2024-02-07) before Start_Date (2024-02-22),ENGL101
1000005533,ENRL,E06,End_Date (2024-02-08) before Start_Date (2024-02-18),NURS101
000005379,ENRL,E07,Overlapping enrolment same NSN in T1,FDTN001
1000000001,ENRL,E07,Overlapping enrolment same NSN in T2,EDUC301
1000000003,ENRL,E07,Overlapping enrolment same NSN in T2,COMP101
1000000004,ENRL,E07,Overlapping enrolment same NSN in T2,EDUC101
1000000005,ENRL,E07,Overlapping enrolment same NSN in T1,COMP201
1000000006,ENRL,E07,Overlapping enrolment same NSN in T3,MIDW101
1000000007,ENRL,E07,Overlapping enrolment same NSN in FY,ECON201
1000000008,ENRL,E07,Overlapping enrolment same NSN in T1,MAOR101
1000000009,ENRL,E07,Overlapping enrolment same NSN in T1,SOCI101
1000000010,ENRL,E07,Overlapping enrolment same NSN in T1,ENGL101
1000000011,ENRL,E07,Overlapping enrolment same NSN in T2,ECON201
1000000012,ENRL,E07,Overlapping enrolment same NSN in T2,EDUC101
1000000013,ENRL,E07,Overlapping enrolment same NSN in T2,BUS201
1000000014,ENRL,E07,Overlapping enrolment same NSN in T1,FDTN002
1000000016,ENRL,E07,Overlapping enrolment same NSN in T3,MAOR101
1000000017,ENRL,E07,Overlapping enrolment same NSN in T2,COMP301
1000000020,ENRL,E07,Overlapping enrolment same NSN in T1,ECON201
1000000021,ENRL,E07,Overlapping enrolment same NSN in T2,BUS301
1000000023,ENRL,E07,Overlapping enrolment same NSN in T2,BUS201
1000000024,ENRL,E07,Overlapping enrolment same NSN in T1,ACCT101
1000000025,ENRL,E07,Overlapping enrolment same NSN in T2,BUS201
1000000026,ENRL,E07,Overlapping enrolment same NSN in T1,MBA501
1000000027,ENRL,E07,Overlapping enrolment same NSN in T2,ENGI301
1000000028,ENRL,E07,Overlapping enrolment same NSN in T1,STAT101
1000000030,ENRL,E07,Overlapping enrolment same NSN in T3,EDUC101
1000000031,ENRL,E07,Overlapping enrolment same NSN in T2,EDUC101
1000000032,ENRL,E07,Overlapping enrolment same NSN in T2,MIDW101
1000000033,ENRL,E07,Overlapping enrolment same NSN in FY,COMP101
1000000034,ENRL,E07,Overlapping enrolment same NSN in T3,BUS101
1000000035,ENRL,E07,Overlapping enrolment same NSN in T1,HIST201
1000000036,ENRL,E07,Overlapping enrolment same NSN in T2,PSYC101
1000000038,ENRL,E07,Overlapping enrolment same NSN in FY,FDTN001
1000000039,ENRL,E07,Overlapping enrolment same NSN in T1,NURS101
1000000041,ENRL,E07,Overlapping enrolment same NSN in T2,COMP301
1000000043,ENRL,E07,Overlapping enrolment same NSN in T1,MBA501
1000000044,ENRL,E07,Overlapping enrolment same NSN in T1,TEAC401
1000000045,ENRL,E07,Overlapping enrolment same NSN in T3,ACCT101
1000000046,ENRL,E07,Overlapping enrolment same NSN in T1,HIST201
1000000048,ENRL,E07,Overlapping enrolment same NSN in T2,FDTN001
1000000049,ENRL,E07,Overlapping enrolment same NSN in T1,SOCI101
1000000253,ENRL,E08,EFTS (1.687) exceeds max 1.0,MIDW101
1000005140,ENRL,E08,EFTS (2.436) exceeds max 1.0,HIST201
1000005677,ENRL,E08,EFTS (2.152) exceeds max 1.0,MAOR101
1000004188,ENRL,E08,EFTS (1.978) exceeds max 1.0,ECON201
1000002859,ENRL,E08,EFTS (1.403) exceeds max 1.0,FDTN001
1000003731,ENRL,E08,EFTS (1.403) exceeds max 1.0,ENGI301
1000002138,ENRL,E08,EFTS (1.276) exceeds max 1.0,ACCT101
1000004679,ENRL,E08,EFTS (2.326) exceeds max 1.0,EDUC101
1000006425,ENRL,E08,EFTS (1.981) exceeds max 1.0,STAT101
1000002543,ENRL,E08,EFTS (2.12) exceeds max 1.0,NURS101
1000004170,ENRL,E08,EFTS (1.227) exceeds max 1.0,COMP201
1000000305,ENRL,E08,EFTS (2.461) exceeds max 1.0,PHAR301
1000002527,ENRL,E08,EFTS (2.282) exceeds max 1.0,ENGL101
1000002089,ENRL,E08,EFTS (1.476) exceeds max 1.0,NURS101
1000000694,ENRL,E08,EFTS (1.436) exceeds max 1.0,COMP101
1000001535,ENRL,E08,EFTS (1.438) exceeds max 1.0,MAOR101
1000003537,ENRL,E08,EFTS (1.596) exceeds max 1.0,BUS301
1000002426,ENRL,E08,EFTS (1.882) exceeds max 1.0,HIST201
1000001152,ENRL,E08,EFTS (1.762) exceeds max 1.0,EDUC301
1000003125,ENRL,E08,EFTS (1.579) exceeds max 1.0,HLTH201
1000005658,ENRL,E09,International student has domestic-only Funding_Code S05,NURS101
1000005092,ENRL,E09,International student has domestic-only Funding_Code S05,HLTH201
1000005251,ENRL,E09,International student has domestic-only Funding_Code S05,BUS201
1000004454,ENRL,E09,International student has domestic-only Funding_Code S05,COMP301
1000000844,ENRL,E09,International student has domestic-only Funding_Code S05,HIST201
1000005905,ENRL,E09,International student has domestic-only Funding_Code S05,MBA501
1000000067,ENRL,E09,International student has domestic-only Funding_Code S05,PHAR301
1000005981,ENRL,E09,International student has domestic-only Funding_Code S05,EDUC101
1000006206,ENRL,E09,International student has domestic-only Funding_Code S05,HIST201
1000004673,ENRL,E09,International student has domestic-only Funding_Code S05,SOCI101
1000004224,ENRL,E09,International student has domestic-only Funding_Code S05,DATA201
1000005858,ENRL,E09,International student has domestic-only Funding_Code S05,PSYC101
1000000444,ENRL,E09,International student has domestic-only Funding_Code S05,NURS101
1000005610,ENRL,E09,International student has domestic-only Funding_Code S05,ECON201
1000005904,ENRL,E09,International student has domestic-only Funding_Code S05,ACCT101
1000005922,ENRL,E09,International student has domestic-only Funding_Code S05,ACCT101
1000003934,ENRL,E09,International student has domestic-only Funding_Code S05,BUS301
1000000172,ENRL,E09,International student has domestic-only Funding_Code S05,MBA501
1000004702,ENRL,E09,International student has domestic-only Funding_Code S05,PHAR301
1000003228,ENRL,E09,International student has domestic-only Funding_Code S05,HIST201
1000004894,ENRL,E09,International student has domestic-only Funding_Code S05,ENGL101
1000004381,ENRL,E09,International student has domestic-only Funding_Code S05,ECON201
1000002962,ENRL,E09,International student has domestic-only Funding_Code S05,COMP201
1000001901,ENRL,E09,International student has domestic-only Funding_Code S05,PHAR301
1000002856,ENRL,E09,International student has domestic-only Funding_Code S05,COMP101
1000005435,ENRL,E10,Exact duplicate enrolment row,BUS201
1000006228,ENRL,E10,Exact duplicate enrolment row,SOCI101
1000002631,ENRL,E10,Exact duplicate enrolment row,ENGI301
1000001356,ENRL,E10,Exact duplicate enrolment row,BUS101
1000000891,ENRL,E10,Exact duplicate enrolment row,BUS301
1000005166,ENRL,E10,Exact duplicate enrolment row,HIST201
1000003338,ENRL,E10,Exact duplicate enrolment row,HIST201
1000004495,ENRL,E10,Exact duplicate enrolment row,ECON201
1000000981,ENRL,E10,Exact duplicate enrolment row,HIST201
1000001732,ENRL,E10,Exact duplicate enrolment row,HLTH201
1000001006,ENRL,E10,Exact duplicate enrolment row,DATA201
1000003348,ENRL,E10,Exact duplicate enrolment row,SOCI101
1000005403,ENRL,E10,Exact duplicate enrolment row,FDTN002
1000005059,ENRL,E10,Exact duplicate enrolment row,EDUC101
1000002679,ENRL,E10,Exact duplicate enrolment row,PHAR301
1000003918,ENRL,E11,Faculty field blank/missing,COMP101
1000000180,ENRL,E11,Faculty field blank/missing,FDTN002
1000000878,ENRL,E11,Faculty field blank/missing,STAT101
1000003842,ENRL,E11,Faculty field blank/missing,ENGL101
1000000448,ENRL,E11,Faculty field blank/missing,NURS101
1000005200,ENRL,E11,Faculty field blank/missing,ENGL101
1000000973,ENRL,E11,Faculty field blank/missing,STAT101
1000003542,ENRL,E11,Faculty field blank/missing,COMP301
1000003253,ENRL,E11,Faculty field blank/missing,EDUC301
1000003168,ENRL,E11,Faculty field blank/missing,ECON201
1000004639,ENRL,E11,Faculty field blank/missing,BUS201
1000006057,ENRL,E11,Faculty field blank/missing,EDUC301
1000003575,ENRL,E11,Faculty field blank/missing,DATA201
1000002617,ENRL,E11,Faculty field blank/missing,DATA201
1000000843,ENRL,E11,Faculty field blank/missing,TEAC401
