NSN,Course_Code,Faculty,Academic_Year,Term,Start_Date,End_Date,EFTS,Funding_Code,Completion_Status,Delivery_Mode
1000000015,NURS101,Health Sciences,2024,T1,2024-02-18,2024-06-16,0.25,S02,Passed,On-campus
1000000016,MAOR101,Arts & Social Sciences,2024,T3,2024-11-10,2024-12-18,0.125,S03,Failed,Online
1000000016,ACCT101,Business & Economics,2024,T1,2024-02-21,2024-06-13,0.125,S02,Passed,On-campus
1000000017,COMP301,Science & Technology,2024,T2,2024-07-10,2024-11-11,0.125,S02,Failed,On-campus
1000000017,FDTN002,Foundation Studies,2024,T2,2024-07-11,2024-11-11,0.125,S05,Passed,Online
1000000017,PHAR301,Health Sciences,2024,T2,2024-07-05,2024-11-06,0.125,S02,Failed,Blended
1000000017,DATA201,Science & Technology,2024,T2,2024-07-06,2024-11-07,0.125,S02,Passed,Online
1000000018,MIDW101,Health Sciences,2024,FY,2024-02-21,2024-11-08,0.25,S09,Passed,Blended
1000000019,MAOR101,Arts & Social Sciences,2024,FY,2024-02-22,2024-11-06,0.125,S02,Passed,On-campus
1000000020,ECON201,Business & Economics,2024,T1,2024-02-22,2024-06-13,0.125,S02,Passed,On-campus
1000000020,EDUC101,Education,2024,T1,2024-02-19,2024-06-13,0.125,S05,Withdrew,On-campus
1000000021,BUS301,Business & Economics,2024,T2,2024-07-07,2024-11-09,0.125,S02,Passed,Online
1000000021,COMP201,Science & Technology,2024,T1,2024-02-22,2024-06-14,0.125,S02,Passed,Online
1000000021,ENGI301,Science & Technology,2024,T1,2024-02-19,2024-06-12,0.25,S03,Passed,Online
1000000021,DATA201,Science & Technology,2024,T1,2024-02-19,2024-06-17,0.125,S02,Withdrew,On-campus
1000000022,ECON201,Business & Economics,2024,T1,2024-02-18,2024-06-12,0.125,S02,Passed,Blended
1000000023,BUS201,Business & Economics,2024,T2,2024-07-10,2024-11-10,0.125,S02,Withdrew,Online
1000000023,BUS301,Business & Economics,2024,T2,2024-07-05,2024-11-09,0.125,S02,Failed,Blended
1000000024,ACCT101,Business & Economics,2024,T1,2024-02-20,2024-06-11,0.125,S03,Withdrew,Online
1000000024,BUS301,Business & Economics,2024,T1,2024-02-19,2024-06-16,0.125,S03,In Progress,On-campus
1000000025,BUS201,Business & Economics,2024,T2,2024-07-07,2024-11-10,0.125,S03,Passed,On-campus
1000000025,ENGI301,Science & Technology,2024,T1,2024-02-21,2024-06-13,0.25,S02,Passed,On-campus
1000000025,COMP101,Science & Technology,2024,T1,2024-02-21,2024-06-11,0.125,S03,Passed,On-campus
1000000026,MBA501,Business & Economics,2024,T1,2024-02-20,2024-06-17,0.25,S02,In Progress,On-campus
1000000026,HLTH201,Health Sciences,2024,T2,2024-07-10,2024-11-06,0.125,S02,In Progress,On-campus
1000000026,BUS101,Business & Economics,2024,T2,2024-07-06,2024-11-08,0.125,S03,Withdrew,Blended
1000000026,STAT101,Science & Technology,2024,T1,2024-02-19,2024-06-11,0.125,S03,In Progress,Blended
1000000027,ENGI301,Science & Technology,2024,T2,2024-07-08,2024-11-05,0.25,S02,Passed,Blended
1000000027,DATA201,Science & Technology,2024,T3,2024-11-09,2024-12-21,0.125,S03,Passed,Online
1000000027,FDTN002,Foundation Studies,2024,FY,2024-02-21,2024-11-08,0.125,S12,Passed,On-campus
1000000027,COMP201,Science & Technology,2024,T1,2024-02-22,2024-06-12,0.125,S03,Passed,Online
1000000028,STAT101,Science & Technology,2024,T1,2024-02-21,2024-06-12,0.125,S03,Passed,On-campus
1000000028,BUS101,Business & Economics,2024,T1,2024-02-22,2024-06-11,0.125,S02,Withdrew,Online
1000000028,ACCT101,Business & Economics,2024,T1,2024-02-17,2024-06-14,0.125,S03,Passed,On-campus
1000000029,HIST201,Arts & Social Sciences,2024,FY,2024-02-18,2024-11-11,0.125,S02,Passed,Online
1000000030,EDUC101,Education,2024,T3,2024-11-11,2024-12-21,0.125,S02,Passed,Online
1000000030,STAT101,Science & Technology,2024,T2,2024-07-08,2024-11-08,0.125,S02,Passed,On-campus
1000000031,EDUC101,Education,2024,T2,2024-07-11,2024-11-08,0.125,S05,Failed,Online
1000000031,TEAC401,Education,2024,T2,2024-07-10,2024-11-08,0.25,S05,Withdrew,Blended
1000000031,MBA501,Business & Economics,2024,T2,2024-07-11,2024-11-06,0.25,S13,Passed,On-campus
1000000031,HIST201,Arts & Social Sciences,2024,FY,2024-02-23,2024-11-08,0.125,S02,Failed,On-campus
1000000032,MIDW101,Health Sciences,2024,T2,2024-07-05,2024-11-06,0.25,S09,Failed,On-campus
1000000032,FDTN002,Foundation Studies,2024,T2,2024-07-08,2024-11-08,0.125,S05,In Progress,On-campus
1000000033,COMP101,Science & Technology,2024,FY,2024-02-22,2024-11-05,0.125,S02,Withdrew,On-campus
1000000033,ECON201,Business & Economics,2024,T1,2024-02-21,2024-06-14,0.125,S02,In Progress,On-campus
1000000034,BUS101,Business & Economics,2024,T3,2024-11-13,2024-12-22,0.125,S03,Withdrew,On-campus
1000000034,FDTN001,Foundation Studies,2024,T2,2024-07-11,2024-11-10,0.25,S05,Failed,On-campus
1000000034,ACCT101,Business & Economics,2024,T1,2024-02-17,2024-06-12,0.125,S03,Withdrew,Blended
1000000035,HIST201,Arts & Social Sciences,2024,T1,2024-02-20,2024-06-16,0.125,S03,In Progress,Blended
1000000035,STAT101,Science & Technology,2024,T1,2024-02-21,2024-06-13,0.125,S02,Withdrew,On-campus
1000000035,FDTN001,Foundation Studies,2024,T3,2024-11-09,2024-12-23,0.25,S02,In Progress,Blended
1000000035,PHAR301,Health Sciences,2024,FY,2024-02-17,2024-11-10,0.125,S03,In Progress,On-campus
1000000036,PSYC101,Arts & Social Sciences,2024,T2,2024-07-09,2024-11-10,0.125,S03,Passed,Online
1000000036,SOCI101,Arts & Social Sciences,2024,T1,2024-02-21,2024-06-17,0.125,S03,Passed,On-campus
1000000037,COMP101,Science & Technology,2024,T2,2024-07-11,2024-11-11,0.125,S03,Passed,Online
1000000038,FDTN001,Foundation Studies,2024,FY,2024-02-20,2024-11-10,0.25,S02,Passed,Online
1000000038,MAOR101,Arts & Social Sciences,2024,T2,2024-07-08,2024-11-11,0.125,S02,Passed,On-campus
1000000038,NURS101,Health Sciences,2024,T2,2024-07-08,2024-11-10,0.25,S02,Passed,Blended
1000000039,NURS101,Health Sciences,2024,T1,2024-02-18,2024-06-12,0.25,S02,Passed,On-campus
1000000039,STAT101,Science & Technology,2024,T2,2024-07-06,2024-11-09,0.125,S03,In Progress,On-campus
1000000040,HLTH201,Health Sciences,2024,T2,2024-07-07,2024-11-11,0.125,S03,Passed,Online
1000000041,COMP301,Science & Technology,2024,T2,2024-07-10,2024-11-07,0.125,S02,Passed,Online
1000000041,BUS301,Business & Economics,2024,FY,2024-02-17,2024-11-05,0.125,S02,Withdrew,On-campus
1000000041,SOCI101,Arts & Social Sciences,2024,T1,2024-02-20,2024-06-13,0.125,S02,Passed,On-campus
1000000042,ECON201,Business & Economics,2024,T2,2024-07-05,2024-11-07,0.125,S03,Passed,On-campus
1000000043,MBA501,Business & Economics,2024,T1,2024-02-17,2024-06-16,0.25,S13,Passed,On-campus
1000000043,DATA201,Science & Technology,2024,T1,2024-02-19,2024-06-12,0.125,S02,Failed,Online
1000000043,ACCT101,Business & Economics,2024,T1,2024-02-18,2024-06-11,0.125,S03,Passed,Online
1000000044,TEAC401,Education,2024,T1,2024-02-21,2024-06-16,0.25,S03,Withdrew,Online
1000000044,DATA201,Science & Technology,2024,T2,2024-07-06,2024-11-09,0.125,S03,Failed,On-campus
1000000045,ACCT101,Business & Economics,2024,T3,2024-11-14,2024-12-18,0.125,S03,In Progress,On-campus
1000000045,HLTH201,Health Sciences,2024,T1,2024-02-19,2024-06-11,0.125,S09,Withdrew,Online
1000000045,ENGI301,Science & Technology,2024,T1,2024-02-23,2024-06-15,0.25,S02,Withdrew,On-campus
1000000046,HIST201,Arts & Social Sciences,2024,T1,2024-02-20,2024-06-15,0.125,S03,Failed,Online
1000000046,COMP301,Science & Technology,2024,T1,2024-02-19,2024-06-17,0.125,S02,In Progress,On-campus
1000000047,COMP101,Science & Technology,2024,T2,2024-07-07,2024-11-05,0.125,S02,Passed,Blended
1000000048,FDTN001,Foundation Studies,2024,T2,2024-07-11,2024-11-06,0.25,S12,Passed,Blended
1000000048,COMP201,Science & Technology,2024,T2,2024-07-05,2024-11-07,0.125,S02,Passed,Online
1000000049,SOCI101,Arts & Social Sciences,2024,T1,2024-02-18,2024-06-13,0.125,S03,Passed,Online
1000000049,ENGI301,Science & Technology,2024,FY,2024-02-22,2024-11-07,0.25,S13,In Progress,On-campus
1000000050,FDTN001,Foundation Studies,2024,T2,2024-07-08,2024-11-06,0.25,S02,In Progress,On-campus
1000000050,EDUC301,Education,2024,T2,2024-07-11,2024-11-07,0.125,S02,Passed,On-campus
1000000051,BUS101,Business & Economics,2024,T1,2024-02-23,2024-06-16,0.125,S03,In Progress,On-campus
1000000052,SOCI101,Arts & Social Sciences,2024,T2,2024-07-06,2024-11-08,0.125,S02,In Progress,Online
1000000052,PHAR301,Health Sciences,2024,T1,2024-02-20,2024-06-12,0.125,S03,Passed,On-campus
1000000053,DATA201,Science & Technology,2024,T1,2024-02-19,2024-06-14,0.125,S03,Passed,Blended
1000000053,BUS301,Business & Economics,2024,T2,2024-07-05,2024-11-10,0.125,S03,In Progress,On-campus
1000000054,HLTH201,Health Sciences,2024,T1,2024-02-23,2024-06-13,0.125,S03,In Progress,Blended
1000000054,DATA201,Science & Technology,2024,FY,2024-02-22,2024-11-07,0.125,S02,Passed,On-campus
1000000055,EDUC301,Education,2024,T1,2024-02-21,2024-06-13,0.125,S03,Failed,On-campus
1000000055,HIST201,Arts & Social Sciences,2024,T1,2024-02-17,2024-06-14,0.125,S02,In Progress,On-campus
1000000056,COMP101,Science & Technology,2024,T3,2024-11-11,2024-12-17,0.125,S03,Passed,On-campus
1000000056,HLTH201,Health Sciences,2024,FY,2024-02-22,2024-11-08,0.125,S09,Failed,Online
1000000057,ACCT101,Business & Economics,2024,T1,2024-02-22,2024-06-11,0.125,S02,Passed,Blended
1000000057,PHAR301,Health Sciences,2024,FY,2024-02-22,2024-11-09,0.125,S02,Passed,On-campus
1000000058,COMP201,Science & Technology,2024,T2,2024-07-05,2024-11-07,0.125,S02,Passed,Online
1000000059,ENGL101,Arts & Social Sciences,2024,T1,2024-02-23,2024-06-16,0.125,S03,In Progress,On-campus
1000000059,MIDW101,Health Sciences,2024,T2,2024-07-11,2024-11-11,0.25,S09,Passed,Blended
1000000060,FDTN001,Foundation Studies,2024,T2,2024-07-11,2024-07-09,0.25,S12,Passed,On-campus
1000000060,PSYC101,Arts & Social Sciences,2024,T1,2024-02-18,2024-06-12,0.125,S02,Passed,Online
1000000061,BUS201,Business & Economics,2024,T2,2024-07-05,2024-11-08,0.125,S03,Passed,On-campus
1000000061,COMP101,Science & Technology,2024,T1,2024-02-18,2024-06-11,0.125,S02,Failed,Online
1000000062,ENGL101,Arts & Social Sciences,2024,T2,2024-07-07,2024-11-06,0.125,S03,In Progress,On-campus
1000000063,ECON201,Business & Economics,2024,T2,2024-07-10,2024-11-10,0.125,S03,In Progress,Blended
1000000064,SOCI101,Arts & Social Sciences,2024,T2,2024-07-07,2024-11-07,0.125,S02,Passed,On-campus
1000000064,TEAC401,Education,2024,FY,2024-02-22,2024-11-05,0.25,S03,In Progress,Online
1000000064,ECON201,Business & Economics,2024,T1,2024-02-19,2024-06-16,0.125,S02,Withdrew,On-campus
1000000064,BUS301,Business & Economics,2024,FY,2024-02-23,2024-11-08,0.125,S03,Passed,On-campus
1000000065,PHAR301,Health Sciences,2024,T2,2024-07-08,2024-11-05,0.125,S03,Passed,On-campus
1000000065,PSYC101,Arts & Social Sciences,2024,T2,2024-07-07,2024-11-06,0.125,S03,Passed,On-campus
1000000065,MIDW101,Health Sciences,2024,FY,2024-02-21,2024-11-07,0.25,S02,Passed,On-campus
1000000066,STAT101,Science & Technology,2024,T2,2024-07-05,2024-11-09,0.125,S02,Withdrew,On-campus
1000000066,SOCI101,Arts & Social Sciences,2024,T2,2024-07-10,2024-11-08,0.125,S02,Passed,On-campus
1000000067,ACCT101,Business & Economics,2024,T1,2024-02-20,2024-06-12,0.125,S03,Passed,On-campus
1000000067,PHAR301,Health Sciences,2024,T1,2024-02-17,2024-06-11,0.125,S05,Passed,Online
1000000068,BUS301,Business & Economics,2024,T1,2024-02-17,2024-06-15,0.125,S02,In Progress,Online
1000000068,STAT101,Science & Technology,2024,T3,2024-11-14,2024-12-21,0.125,S02,Passed,On-campus
1000000069,DATA201,Science & Technology,2024,T2,2024-07-07,2024-11-10,0.125,S03,Withdrew,On-campus
1000000069,COMP201,Science & Technology,2024,T1,2024-02-22,2024-06-12,0.125,S03,Passed,Online
1000000069,TEAC401,Education,2024,FY,2024-02-21,2024-11-09,0.25,S03,Withdrew,On-campus
1000000070,COMP201,Science & Technology,2024,T3,2024-11-09,2024-12-17,0.125,S02,Passed,On-campus
1000000070,SOCI101,Arts & Social Sciences,2024,T3,2024-11-08,2024-12-22,0.125,S02,In Progress,Online
1000000071,COMP301,Science & Technology,2024,T2,2024-07-08,2024-11-11,0.125,S03,Passed,On-campus
1000000071,PHAR301,Health Sciences,2024,T2,2024-07-06,2024-11-09,0.125,S02,Passed,On-campus
1000000072,PHAR301,Health Sciences,2024,T1,2024-02-17,2024-06-15,0.125,S02,Passed,On-campus
1000000072,DATA201,Science & Technology,2024,T1,2024-02-22,2024-06-14,0.125,S02,Passed,On-campus
1000000072,COMP101,Science & Technology,2024,T2,2024-07-08,2024-11-06,0.125,S02,In Progress,On-campus
1000000073,MAOR101,Arts & Social Sciences,2024,T1,2024-02-19,2024-06-17,0.125,S02,Passed,On-campus
1000000073,EDUC101,Education,2024,T1,2024-02-23,2024-06-14,0.125,S03,Passed,On-campus
1000000074,FDTN001,Foundation Studies,2024,T3,2024-11-13,2024-12-23,0.25,S02,Passed,Online
1000000074,EDUC101,Education,2024,T1,2024-02-17,2024-06-15,0.125,S05,Passed,Blended
1000000074,ECON201,Business & Economics,2024,T2,2024-07-08,2024-11-06,0.125,S02,Withdrew,Online
1000000075,COMP101,Science & Technology,2024,T3,2024-11-13,2024-12-18,0.125,S03,Passed,On-campus
1000000075,ECON201,Business & Economics,2024,T1,2024-02-20,2024-06-11,0.125,S03,In Progress,On-campus
1000000076,STAT101,Science & Technology,2024,FY,2024-02-18,2024-11-08,0.125,S02,Passed,Online
1000000076,ACCT101,Business & Economics,2024,T2,2024-07-06,2024-11-08,0.125,S03,In Progress,On-campus
1000000076,PHAR301,Health Sciences,2024,FY,2024-02-20,2024-11-11,0.125,S02,In Progress,On-campus
1000000077,MAOR101,Arts & Social Sciences,2024,T1,2024-02-23,2024-06-12,0.125,S05,In Progress,Blended
1000000077,NURS101,Health Sciences,2024,T2,2024-07-08,2024-11-07,0.25,S09,In Progress,On-campus
1000000077,ENGL101,Arts & Social Sciences,2024,T1,2024-02-23,2024-06-17,0.125,S02,In Progress,Online
1000000078,EDUC301,Education,2024,T3,2024-11-10,2024-12-22,0.125,S05,Withdrew,Online
1000000078,DATA201,Science & Technology,2024,T1,2024-02-22,2024-06-13,0.125,S03,Passed,On-campus
1000000078,ENGL101,Arts & Social Sciences,2024,FY,2024-02-20,2024-11-08,0.125,S03,Passed,On-campus
1000000079,EDUC301,Education,2024,T1,2024-02-19,2024-06-15,0.125,S05,Withdrew,On-campus
1000000079,PSYC101,Arts & Social Sciences,2024,T1,2024-02-17,2024-06-16,0.125,S03,Failed,Blended
1000000079,HLTH201,Health Sciences,2024,T3,2024-11-11,2024-12-17,0.125,S03,Passed,On-campus
1000000079,MAOR101,Arts & Social Sciences,2024,T2,2024-07-10,2024-11-05,0.125,S02,Passed,Online
1000000080,ENGI301,Science & Technology,2024,T1,2024-02-17,2024-06-12,0.25,S02,Passed,On-campus
1000000080,ACCT101,Business & Economics,2024,T2,2024-07-10,2024-11-10,0.125,S03,Passed,Blended
1000000081,HIST201,Arts & Social Sciences,2024,T1,2024-02-21,2024-06-13,0.125,S03,Passed,On-campus
1000000081,BUS101,Business & Economics,2024,T1,2024-02-23,2024-06-17,0.125,S02,Passed,Online
1000000081,BUS201,Business & Economics,2024,T2,2024-07-11,2024-11-09,0.125,S02,Failed,On-campus
1000000082,HIST201,Arts & Social Sciences,2024,T1,2024-02-20,2024-06-13,0.125,S02,Withdrew,On-campus
1000000083,STAT101,Science & Technology,2024,FY,2024-02-22,2024-11-09,0.125,S02,In Progress,On-campus
1000000083,BUS101,Business & Economics,2024,FY,2024-02-22,2024-11-08,0.125,S02,Passed,On-campus
1000000084,HIST201,Arts & Social Sciences,2024,T2,2024-07-10,2024-11-09,0.125,S03,Passed,On-campus
1000000084,BUS201,Business & Economics,2024,T2,2024-07-08,2024-11-09,0.125,S02,Passed,Blended
1000000085,PHAR301,Health Sciences,2024,T2,2024-07-09,2024-11-10,0.125,S02,Passed,Blended
1000000085,BUS301,Business & Economics,2024,T2,2024-07-11,2024-11-09,0.125,S03,Passed,Blended
1000000086,SOCI101,Arts & Social Sciences,2024,T1,2024-02-21,2024-06-14,0.125,S02,Withdrew,On-campus
1000000086,HIST201,Arts & Social Sciences,2024,T1,2024-02-20,2024-06-15,0.125,S03,Passed,Online
1000000087,PHAR301,Health Sciences,2024,T1,2024-02-22,2024-06-17,0.125,S02,Passed,On-campus
1000000087,NURS101,Health Sciences,2024,T2,2024-07-11,2024-11-09,0.25,S09,Passed,Blended
1000000088,ACCT101,Business & Economics,2024,T1,2024-02-21,2024-06-17,0.125,S03,Passed,Blended
1000000089,TEAC401,Education,2024,T1,2024-02-22,2024-06-16,0.25,S03,Withdrew,On-campus
1000000089,BUS201,Business & Economics,2024,T2,2024-07-05,2024-11-09,0.125,S02,Passed,On-campus
1000000089,DATA201,Science & Technology,2024,T1,2024-02-19,2024-06-11,0.125,S02,Passed,On-campus
1000000090,MAOR101,Arts & Social Sciences,2024,FY,2024-02-23,2024-11-10,0.125,S02,Passed,On-campus
1000000090,COMP201,Science & Technology,2024,FY,2024-02-20,2024-11-07,0.125,S02,Passed,On-campus
1000000090,FDTN002,Foundation Studies,2024,T1,2024-02-18,2024-06-15,0.125,S05,In Progress,Blended
1000000091,ENGI301,Science & Technology,2024,T2,2024-07-05,2024-11-08,0.25,S03,Passed,On-campus
1000000091,BUS101,Business & Economics,2024,T1,2024-02-19,2024-06-12,0.125,S03,Passed,Blended
1000000091,MBA501,Business & Economics,2024,T2,2024-07-10,2024-11-11,0.25,S03,Passed,On-campus
1000000091,ECON201,Business & Economics,2024,T1,2024-02-20,2024-06-11,0.125,S02,In Progress,On-campus
1000000092,STAT101,Science & Technology,2024,T2,2024-07-11,2024-11-05,0.125,S03,Passed,On-campus
1000000092,FDTN001,Foundation Studies,2024,T2,2024-07-07,2024-11-11,0.25,S12,Passed,On-campus
1000000093,COMP301,Science & Technology,2024,T2,2024-07-11,2024-11-11,0.125,S03,Passed,On-campus
1000000093,COMP101,Science & Technology,2024,T3,2024-11-08,2024-12-22,0.125,S03,Passed,On-campus
1000000094,BUS101,Business & Economics,2024,T2,2024-07-06,2024-11-11,0.125,S02,In Progress,On-campus
1000000094,COMP101,Science & Technology,2024,T1,2024-02-18,2024-06-16,0.125,S02,Passed,Blended
1000000095,EDUC101,Education,2024,T2,2024-07-07,2024-11-10,0.125,S05,In Progress,On-campus
1000000095,FDTN002,Foundation Studies,2024,T1,2024-02-17,2024-06-13,0.125,S02,Passed,On-campus
1000000096,NURS101,Health Sciences,2024,T2,2024-07-09,2024-11-07,0.25,S02,Passed,Blended
1000000096,BUS101,Business & Economics,2024,T2,2024-07-10,2024-11-08,0.125,S03,Passed,On-campus
1000000097,DATA201,Science & Technology,2024,T2,2024-07-07,2024-11-08,0.125,S03,Passed,On-campus
1000000097,TEAC401,Education,2024,T3,2024-11-14,2024-12-23,0.25,S02,Passed,Blended
1000000098,ECON201,Business & Economics,2024,T2,2024-07-06,2024-11-05,0.125,S02,Passed,Blended
1000000098,COMP201,Science & Technology,2024,FY,2024-02-19,2024-11-06,0.125,S02,In Progress,Online
1000000098,ACCT101,Business & Economics,2024,T3,2024-11-09,2024-12-20,0.125,S02,In Progress,On-campus
1000000099,PHAR301,Health Sciences,2024,T1,2024-02-19,2024-06-17,0.125,S02,In Progress,On-campus
1000000099,EDUC301,Education,2024,T1,2024-02-20,2024-06-11,0.125,S02,Passed,Online
1000000099,HIST201,Arts & Social Sciences,2024,FY,2024-02-22,2024-11-08,0.125,S02,Passed,Online
1000000100,DATA201,Science & Technology,2024,T1,2024-02-22,2024-06-11,0.125,S03,Passed,Blended
1000000100,PHAR301,Health Sciences,2024,T1,2024-02-23,2024-06-11,0.125,S03,Passed,On-campus
1000000101,TEAC401,Education,2024,T2,2024-07-10,2024-11-05,0.25,S05,In Progress,Online
1000000101,BUS201,Business & Economics,2024,T2,2024-07-11,2024-11-06,0.125,S02,In Progress,On-campus
1000000101,PHAR301,Health Sciences,2024,FY,2024-02-22,2024-11-05,0.125,S03,Passed,On-campus
1000000101,FDTN002,Foundation Studies,2024,T1,2024-02-23,2024-06-17,0.125,S05,Passed,Blended
1000000102,EDUC101,Education,2024,FY,2024-02-21,2024-11-08,0.125,S03,Passed,On-campus
1000000103,BUS201,Business & Economics,2024,T3,2024-11-14,2024-12-22,0.125,S03,In Progress,Online
1000000103,EDUC101,Education,2024,T2,2024-07-10,2024-11-10,0.125,S03,In Progress,On-campus
1000000103,STAT101,Science & Technology,2024,T2,2024-07-11,2024-11-07,0.125,S02,Passed,Blended
1000000104,ENGI301,Science & Technology,2024,T1,2024-02-21,2024-06-11,0.25,S03,Passed,On-campus
1000000104,DATA201,Science & Technology,2024,T2,2024-07-08,2024-11-06,0.125,S02,Passed,Online
1000000104,ENGL101,Arts & Social Sciences,2024,T2,2024-07-06,2024-11-08,0.125,S02,Passed,Online
1000000105,TEAC401,Education,2024,T1,2024-02-19,2024-06-16,0.25,S02,Passed,On-campus
1000000105,EDUC101,Education,2024,T2,2024-07-08,2024-11-05,0.125,S02,Failed,On-campus
1000000105,SOCI101,Arts & Social Sciences,2024,T1,2024-02-19,2024-06-16,0.125,S03,Passed,Online
1000000106,ECON201,Business & Economics,2024,T2,2024-07-08,2024-11-07,0.125,S03,Failed,On-campus
1000000106,BUS301,Business & Economics,2024,FY,2024-02-20,2024-11-10,0.125,S03,Passed,On-campus
1000000106,DATA201,Science & Technology,2024,T1,2024-02-21,2024-06-16,0.125,S03,In Progress,Online
1000000106,FDTN002,Foundation Studies,2024,FY,2024-02-19,2024-11-06,0.125,S12,Passed,On-campus
1000000107,HIST201,Arts & Social Sciences,2024,T1,2024-02-20,2024-06-11,0.125,S03,Passed,Blended
1000000107,FDTN002,Foundation Studies,2024,T2,2024-07-08,2024-11-10,0.125,S12,Passed,Blended
1000000107,MBA501,Business & Economics,2024,T2,2024-07-10,2024-11-08,0.25,S02,Passed,On-campus
1000000108,FDTN002,Foundation Studies,2024,T3,2024-11-12,2024-12-22,0.125,S12,Withdrew,Online
1000000108,MIDW101,Health Sciences,2024,T1,2024-02-18,2024-06-15,0.25,S02,Passed,On-campus
1000000109,ECON201,Business & Economics,2024,T1,2024-02-23,2024-06-13,0.125,S03,In Progress,Blended
1000000109,COMP301,Science & Technology,2024,FY,2024-02-17,2024-11-10,0.125,S02,Passed,On-campus
1000000109,BUS201,Business & Economics,2024,T2,2024-07-07,2024-11-11,0.125,S03,Withdrew,Blended
1000000110,HLTH201,Health Sciences,2024,T2,2024-07-05,2024-11-10,0.125,S03,Passed,Online
1000000110,BUS301,Business & Economics,2024,T1,2024-02-21,2024-06-13,0.125,S02,Withdrew,On-campus
1000000111,ACCT101,Business & Economics,2024,T2,2024-07-05,2024-11-10,0.125,S03,Failed,On-campus
1000000111,EDUC301,Education,2024,T2,2024-07-06,2024-11-09,0.125,S05,Passed,On-campus
